,beds,neighborhood,postal_code,region,year_month,price,price_normalized,price_normalized_date
20116,1.0,Millcreek_Holladay,84117,East,2014-02-01,100100.0,1.0,2014-02-01
20210,1.0,Millcreek_Holladay,84117,East,2014-03-01,97800.0,0.977022977022977,2014-02-01
20304,1.0,Millcreek_Holladay,84117,East,2014-04-01,95800.0,0.957042957042957,2014-02-01
20398,1.0,Millcreek_Holladay,84117,East,2014-05-01,96600.0,0.965034965034965,2014-02-01
20492,1.0,Millcreek_Holladay,84117,East,2014-06-01,99400.0,0.993006993006993,2014-02-01
20586,1.0,Millcreek_Holladay,84117,East,2014-07-01,102000.0,1.018981018981019,2014-02-01
20680,1.0,Millcreek_Holladay,84117,East,2014-08-01,102600.0,1.024975024975025,2014-02-01
20774,1.0,Millcreek_Holladay,84117,East,2014-09-01,102100.0,1.01998001998002,2014-02-01
20868,1.0,Millcreek_Holladay,84117,East,2014-10-01,101300.0,1.011988011988012,2014-02-01
20962,1.0,Millcreek_Holladay,84117,East,2014-11-01,100200.0,1.000999000999001,2014-02-01
21056,1.0,Millcreek_Holladay,84117,East,2014-12-01,99900.0,0.998001998001998,2014-02-01
21150,1.0,Millcreek_Holladay,84117,East,2015-01-01,99800.0,0.997002997002997,2014-02-01
21244,1.0,Millcreek_Holladay,84117,East,2015-02-01,98200.0,0.981018981018981,2014-02-01
21338,1.0,Millcreek_Holladay,84117,East,2015-03-01,95900.0,0.958041958041958,2014-02-01
21432,1.0,Millcreek_Holladay,84117,East,2015-04-01,94900.0,0.948051948051948,2014-02-01
21526,1.0,Millcreek_Holladay,84117,East,2015-05-01,94400.0,0.9430569430569431,2014-02-01
21620,1.0,Millcreek_Holladay,84117,East,2015-06-01,93300.0,0.932067932067932,2014-02-01
21714,1.0,Millcreek_Holladay,84117,East,2015-07-01,91700.0,0.916083916083916,2014-02-01
21808,1.0,Millcreek_Holladay,84117,East,2015-08-01,90400.0,0.903096903096903,2014-02-01
21902,1.0,Millcreek_Holladay,84117,East,2015-09-01,89800.0,0.8971028971028971,2014-02-01
21996,1.0,Millcreek_Holladay,84117,East,2015-10-01,89500.0,0.8941058941058941,2014-02-01
22090,1.0,Millcreek_Holladay,84117,East,2015-11-01,88900.0,0.8881118881118881,2014-02-01
22184,1.0,Millcreek_Holladay,84117,East,2015-12-01,89200.0,0.8911088911088911,2014-02-01
22278,1.0,Millcreek_Holladay,84117,East,2016-01-01,90300.0,0.9020979020979021,2014-02-01
22372,1.0,Millcreek_Holladay,84117,East,2016-02-01,91600.0,0.9150849150849151,2014-02-01
22466,1.0,Millcreek_Holladay,84117,East,2016-03-01,93000.0,0.929070929070929,2014-02-01
22560,1.0,Millcreek_Holladay,84117,East,2016-04-01,95100.0,0.9500499500499501,2014-02-01
22654,1.0,Millcreek_Holladay,84117,East,2016-05-01,96400.0,0.9630369630369631,2014-02-01
22748,1.0,Millcreek_Holladay,84117,East,2016-06-01,96400.0,0.9630369630369631,2014-02-01
22842,1.0,Millcreek_Holladay,84117,East,2016-07-01,95800.0,0.957042957042957,2014-02-01
22936,1.0,Millcreek_Holladay,84117,East,2016-08-01,95800.0,0.957042957042957,2014-02-01
23030,1.0,Millcreek_Holladay,84117,East,2016-09-01,96000.0,0.9590409590409591,2014-02-01
23124,1.0,Millcreek_Holladay,84117,East,2016-10-01,96200.0,0.961038961038961,2014-02-01
23218,1.0,Millcreek_Holladay,84117,East,2016-11-01,95500.0,0.954045954045954,2014-02-01
23312,1.0,Millcreek_Holladay,84117,East,2016-12-01,95600.0,0.955044955044955,2014-02-01
23406,1.0,Millcreek_Holladay,84117,East,2017-01-01,96600.0,0.965034965034965,2014-02-01
23500,1.0,Millcreek_Holladay,84117,East,2017-02-01,98900.0,0.988011988011988,2014-02-01
23594,1.0,Millcreek_Holladay,84117,East,2017-03-01,102300.0,1.021978021978022,2014-02-01
23688,1.0,Millcreek_Holladay,84117,East,2017-04-01,105700.0,1.055944055944056,2014-02-01
23782,1.0,Millcreek_Holladay,84117,East,2017-05-01,107800.0,1.0769230769230769,2014-02-01
23876,1.0,Millcreek_Holladay,84117,East,2017-06-01,110600.0,1.1048951048951048,2014-02-01
23970,1.0,Millcreek_Holladay,84117,East,2017-07-01,113400.0,1.132867132867133,2014-02-01
24064,1.0,Millcreek_Holladay,84117,East,2017-08-01,114600.0,1.144855144855145,2014-02-01
24158,1.0,Millcreek_Holladay,84117,East,2017-09-01,114700.0,1.1458541458541458,2014-02-01
24252,1.0,Millcreek_Holladay,84117,East,2017-10-01,114500.0,1.1438561438561439,2014-02-01
24346,1.0,Millcreek_Holladay,84117,East,2017-11-01,116800.0,1.1668331668331668,2014-02-01
24440,1.0,Millcreek_Holladay,84117,East,2017-12-01,122600.0,1.2247752247752248,2014-02-01
24534,1.0,Millcreek_Holladay,84117,East,2018-01-01,128300.0,1.2817182817182817,2014-02-01
24628,1.0,Millcreek_Holladay,84117,East,2018-02-01,130500.0,1.3036963036963036,2014-02-01
1,3.0,Millcreek_Holladay,84117,East,1996-04-01,156600.0,1.0,1996-04-01
95,3.0,Millcreek_Holladay,84117,East,1996-05-01,157300.0,1.0044699872286078,1996-04-01
189,3.0,Millcreek_Holladay,84117,East,1996-06-01,157500.0,1.0057471264367817,1996-04-01
283,3.0,Millcreek_Holladay,84117,East,1996-07-01,158000.0,1.0089399744572158,1996-04-01
377,3.0,Millcreek_Holladay,84117,East,1996-08-01,158600.0,1.012771392081737,1996-04-01
471,3.0,Millcreek_Holladay,84117,East,1996-09-01,158900.0,1.0146871008939975,1996-04-01
565,3.0,Millcreek_Holladay,84117,East,1996-10-01,159200.0,1.016602809706258,1996-04-01
659,3.0,Millcreek_Holladay,84117,East,1996-11-01,160000.0,1.0217113665389528,1996-04-01
753,3.0,Millcreek_Holladay,84117,East,1996-12-01,161000.0,1.0280970625798211,1996-04-01
847,3.0,Millcreek_Holladay,84117,East,1997-01-01,162400.0,1.037037037037037,1996-04-01
941,3.0,Millcreek_Holladay,84117,East,1997-02-01,163400.0,1.0434227330779056,1996-04-01
1035,3.0,Millcreek_Holladay,84117,East,1997-03-01,164000.0,1.0472541507024267,1996-04-01
1129,3.0,Millcreek_Holladay,84117,East,1997-04-01,164800.0,1.0523627075351214,1996-04-01
1223,3.0,Millcreek_Holladay,84117,East,1997-05-01,166200.0,1.0613026819923372,1996-04-01
1317,3.0,Millcreek_Holladay,84117,East,1997-06-01,167900.0,1.0721583652618136,1996-04-01
1411,3.0,Millcreek_Holladay,84117,East,1997-07-01,169800.0,1.0842911877394636,1996-04-01
1505,3.0,Millcreek_Holladay,84117,East,1997-08-01,172100.0,1.0989782886334611,1996-04-01
1599,3.0,Millcreek_Holladay,84117,East,1997-09-01,174000.0,1.1111111111111112,1996-04-01
1693,3.0,Millcreek_Holladay,84117,East,1997-10-01,175100.0,1.1181353767560664,1996-04-01
1787,3.0,Millcreek_Holladay,84117,East,1997-11-01,175200.0,1.1187739463601531,1996-04-01
1881,3.0,Millcreek_Holladay,84117,East,1997-12-01,175100.0,1.1181353767560664,1996-04-01
1975,3.0,Millcreek_Holladay,84117,East,1998-01-01,175600.0,1.1213282247765006,1996-04-01
2069,3.0,Millcreek_Holladay,84117,East,1998-02-01,177400.0,1.132822477650064,1996-04-01
2163,3.0,Millcreek_Holladay,84117,East,1998-03-01,178700.0,1.1411238825031929,1996-04-01
2257,3.0,Millcreek_Holladay,84117,East,1998-04-01,178800.0,1.1417624521072798,1996-04-01
2351,3.0,Millcreek_Holladay,84117,East,1998-05-01,178800.0,1.1417624521072798,1996-04-01
2445,3.0,Millcreek_Holladay,84117,East,1998-06-01,179300.0,1.144955300127714,1996-04-01
2539,3.0,Millcreek_Holladay,84117,East,1998-07-01,179600.0,1.1468710089399745,1996-04-01
2633,3.0,Millcreek_Holladay,84117,East,1998-08-01,179100.0,1.1436781609195403,1996-04-01
2727,3.0,Millcreek_Holladay,84117,East,1998-09-01,178000.0,1.1366538952745848,1996-04-01
2821,3.0,Millcreek_Holladay,84117,East,1998-10-01,177600.0,1.1340996168582376,1996-04-01
2915,3.0,Millcreek_Holladay,84117,East,1998-11-01,178200.0,1.1379310344827587,1996-04-01
3009,3.0,Millcreek_Holladay,84117,East,1998-12-01,178700.0,1.1411238825031929,1996-04-01
3103,3.0,Millcreek_Holladay,84117,East,1999-01-01,178600.0,1.140485312899106,1996-04-01
3197,3.0,Millcreek_Holladay,84117,East,1999-02-01,178300.0,1.1385696040868454,1996-04-01
3291,3.0,Millcreek_Holladay,84117,East,1999-03-01,177500.0,1.1334610472541506,1996-04-01
3385,3.0,Millcreek_Holladay,84117,East,1999-04-01,176900.0,1.1296296296296295,1996-04-01
3479,3.0,Millcreek_Holladay,84117,East,1999-05-01,177000.0,1.1302681992337165,1996-04-01
3573,3.0,Millcreek_Holladay,84117,East,1999-06-01,178000.0,1.1366538952745848,1996-04-01
