postal_code,neighborhood
84121,Cottonwood
84103,Downtown SLC
84108,Emigration Canyon
84117,Millcreek_Holladay
84106,Downtown SLC
84109,Millcreek_Holladay
84119,West Valley
84107,Murray
84128,West Valley
84124,Millcreek_Holladay
84105,Downtown SLC
84102,Downtown SLC
84101,Downtown SLC
84120,West Valley
84115,Downtown SLC
84123,Taylorsville_Midvale
84118,West Valley
84129,Taylorsville_Midvale
84111,Downtown SLC
84104,West Valley
84116,West Valley
84054,North SLC
84010,North SLC
84114,North SLC
84087,North SLC
