title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,5 N 500 W # 917,Salt Lake City,UT,84101,"$265,000 ","1 bd , 1 ba , 753 sqft",,https://www.zillow.com/homedetails/5-N-500-W-917-Salt-Lake-City-UT-84101/2090375808_zpid/
For Sale by Owner,500 W 500 S Parc At Gtwy # 817,Salt Lake City,UT,84101,"$245,000 ","1 bd , 1 ba , 763 sqft",,https://www.zillow.com/homedetails/500-W-500-S-Parc-At-Gtwy-817-Salt-Lake-City-UT-84101/2090452983_zpid/
Condo For Sale,328 W 200 S APT 402,SALT LAKE CITY,UT,84101,"$319,900 ","1 bd , 1 ba , 893 sqft",Marval Realty Group,https://www.zillow.com/homedetails/328-W-200-S-APT-402-Salt-Lake-City-UT-84101/83826154_zpid/
Condo For Sale,5 S 500 W UNIT 1116,SALT LAKE CITY,UT,84101,"$268,850 ","1 bd , 1 ba , 750 sqft",Equity Real Estate - Solid,https://www.zillow.com/homedetails/5-S-500-W-UNIT-1116-Salt-Lake-City-UT-84101/65733953_zpid/
House For Sale,5 S 500 W UNIT 1015,SALT LAKE CITY,UT,84101,"$419,000 ","2 bds , 2 ba , 1,160 sqft",CENTURY 21 Everest Realty Group,https://www.zillow.com/homedetails/5-S-500-W-UNIT-1015-Salt-Lake-City-UT-84101/65729920_zpid/
Condo For Sale,159 West Broadway APT 108,Salt Lake City,UT,84101,"$318,500 ","1 bd , 1 ba , 886 sqft",Coldwell Banker Residential Brokerage - Salt Lake - Sugar House,https://www.zillow.com/homedetails/159-West-Broadway-APT-108-Salt-Lake-City-UT-84101/52834472_zpid/
Condo For Sale,380 W 200 S APT 602,SALT LAKE CITY,UT,84101,"$599,900 ","3 bds , 3 ba , 1,691 sqft",Urban Utah Homes & Estates,https://www.zillow.com/homedetails/380-W-200-S-APT-602-Salt-Lake-City-UT-84101/12735293_zpid/
Condo For Sale,35 West Broadway APT 403,Salt Lake City,UT,84101,"$879,900 ","1 bd , 3 ba , 2,336 sqft",Equity Real Estate - Solid,https://www.zillow.com/homedetails/35-West-Broadway-APT-403-Salt-Lake-City-UT-84101/89425336_zpid/
House For Sale,835 S 200 W,Salt Lake City,UT,84101,"$465,000 ","3 bds , 3 ba , 1,560 sqft",Coldwell Banker Residential Brokerage - Salt Lake - Sugar House,https://www.zillow.com/homedetails/835-S-200-W-Salt-Lake-City-UT-84101/2092527388_zpid/
Condo For Sale,360 W 300 S UNIT 413,Salt Lake City,UT,84101,"$325,000 ","2 bds , 2 ba , 692 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/360-W-300-S-UNIT-413-Salt-Lake-City-UT-84101/2090952751_zpid/
Condo For Sale,5 S 500 W UNIT 704,SALT LAKE CITY,UT,84101,"$260,000 ","2 bds , 2 ba , 864 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/5-S-500-W-UNIT-704-Salt-Lake-City-UT-84101/65729905_zpid/
